Year,Category,Percentage: Positive,Percentage: Negative,Percentage: Neutral,Count: Positive,Count: Negative,Count: Neutral,Total
2004,Arts,40.13829436944353,13.483701020744155,46.378004609812315,2438,819,2817,6074
2004,Books,35.767790262172284,26.516853932584272,37.71535580524345,955,708,1007,2670
2004,Travel,37.72660460558549,15.92356687898089,46.349828515433614,770,325,946,2041
2004,Science,44.35857805255023,31.066460587326123,24.57496136012365,287,201,159,647
2004,Health,38.89541715628672,49.82373678025852,11.28084606345476,331,424,96,851
2004,Food,37.46594005449591,7.901907356948229,54.63215258855586,275,58,401,734
2005,New York,40.87259841647749,41.32107856707823,17.806323016444274,7382,7463,3216,18061
2005,Opinion,42.65109351728463,37.109038175119544,20.239868307595827,5441,4734,2582,12757
2005,Arts,48.847660751325186,16.582161788430515,34.570177460244295,4239,1439,3000,8678
2005,Business Day,56.61196492142051,26.291568984978724,17.096466093600764,6520,3028,1969,11517
2005,World,27.40931856123843,55.33464865685232,17.25603278190924,1806,3646,1137,6589
2005,U.S.,38.37471783295711,48.75846501128668,12.866817155756207,3060,3888,1026,7974
2005,Sports,49.11891011402339,30.075521990226566,20.805567895750038,3317,2031,1405,6753
2005,Books,41.116544417277915,29.747351263243683,29.136104319478402,1009,730,715,2454
2005,Travel,37.1107708014293,9.851965288412455,53.03726391015824,727,193,1039,1959
2005,Health,41.110217216411904,47.78761061946903,11.102172164119068,511,594,138,1243
2005,Technology,44.02810304449648,18.0327868852459,37.93911007025761,188,77,162,427
2005,Science,25.31645569620253,20.253164556962027,54.43037974683544,40,32,86,158
2005,Food,74.24242424242425,10.606060606060606,15.151515151515152,343,49,70,462
2006,New York,34.45498547918683,41.42110358180059,24.123910939012585,8898,10697,6230,25825
2006,Books,39.48408087380897,25.842435510109222,34.6734836160818,1699,1112,1492,4303
2006,Opinion,36.5593458540948,33.45470806183723,29.985946084067972,5723,5237,4694,15654
2006,Arts,50.13271400132714,18.31453218314532,31.55275381552754,6044,2208,3804,12056
2006,Travel,59.25684485006519,13.200782268578878,27.54237288135593,1818,405,845,3068
2006,Sports,38.160659447228056,29.877161790851787,31.962178761920157,4722,3697,3955,12374
2006,Science,30.071599045346066,27.684964200477324,42.243436754176614,252,232,354,838
2006,U.S.,35.87402161759225,50.1956764815505,13.93030190085725,3850,5387,1495,10732
2006,Business Day,53.64103400472967,25.528011090271548,20.830954904998777,13156,6261,5109,24526
2006,World,29.76464342594231,57.671208635639715,12.56414793841798,3364,6518,1420,11302
2006,Health,38.88888888888889,45.67901234567901,15.432098765432098,756,888,300,1944
2006,Food,43.958076448828606,10.35758323057953,45.68434032059186,713,168,741,1622
2006,Technology,46.73913043478261,18.67007672634271,34.59079283887468,731,292,541,1564
2007,New York,31.087470449172578,38.18754925137904,30.724980299448383,3945,4846,3899,12690
2007,Sports,49.98423873069244,27.603236313964487,22.412524955343073,4757,2627,2133,9517
2007,Opinion,30.54156171284635,23.085642317380355,46.3727959697733,2425,1833,3682,7940
2007,Business Day,49.47660272732416,27.641034346177783,22.882362926498047,8744,4885,4044,17673
2007,Technology,44.76744186046512,19.51827242524917,35.714285714285715,1078,470,860,2408
2007,Science,38.544474393531,24.528301886792452,36.92722371967655,429,273,411,1113
2007,World,30.184522170201046,52.7678325530157,17.047645276783253,2192,3832,1238,7262
2007,U.S.,30.873915943962643,39.50633755837225,29.619746497665112,2314,2961,2220,7495
2007,Arts,47.52039362941862,18.684449048297296,33.79515732228408,3670,1443,2610,7723
2007,Books,41.4614773629865,24.622716441620334,33.915806195393166,1044,620,854,2518
2007,Health,32.78388278388278,41.57509157509158,25.64102564102564,358,454,280,1092
2007,Food,37.976653696498055,9.649805447470818,52.373540856031134,488,124,673,1285
2007,Travel,49.126946672958944,10.995752713544125,39.87730061349693,1041,233,845,2119
2008,Technology,44.543946932006634,23.449419568822556,32.00663349917081,1343,707,965,3015
2008,Sports,47.58568164508758,24.85910129474486,27.555217060167553,6248,3264,3618,13130
2008,Business Day,42.78746674549217,31.60409892600256,25.60843432850527,8685,6415,5198,20298
2008,Health,33.35073068893528,33.66388308977035,32.98538622129436,639,645,632,1916
2008,U.S.,36.42344497607656,33.084130781499205,30.492424242424242,3654,3319,3059,10032
2008,Opinion,31.26428898033836,24.622770919067214,44.11294010059442,2735,2154,3859,8748
2008,New York,34.99169435215947,34.19435215946844,30.813953488372093,4213,4117,3710,12040
2008,Science,37.73103887826641,22.498406628425748,39.77055449330784,592,353,624,1569
2008,Arts,46.41497116744642,18.69219889021869,34.89282994233489,4266,1718,3207,9191
2008,World,30.43203038455452,52.66656116474125,16.901408450704224,1923,3328,1068,6319
2008,Books,41.863207547169814,24.371069182389938,33.76572327044025,1065,620,859,2544
2008,Food,39.95454545454545,8.863636363636363,51.18181818181819,879,195,1126,2200
2008,Travel,54.19525065963061,12.87598944591029,32.928759894459105,1027,244,624,1895
2009,Arts,44.61113985169857,18.210036213140196,37.17882393516124,5174,2112,4312,11598
2009,Sports,46.276043745509696,24.618823341582182,29.105132912908115,5797,3084,3646,12527
2009,U.S.,37.35026353617633,34.882606612362245,27.76712985146143,3118,2912,2318,8348
2009,Business Day,42.59802483621786,31.39728170528992,26.004693458492227,8713,6422,5319,20454
2009,Technology,44.290375203915175,18.21642196846112,37.493202827623705,1629,670,1379,3678
2009,World,28.57142857142857,53.537342826844416,17.89122860172701,1886,3534,1181,6601
